features,importance,model,used_in_automl
orders_ords_last_6_12_order_pay_catg_cd_a_orig_order_value_amt_mean,1.0,LGBMRegressor(),
orders_ords_last_24_24_order_pay_catg_cd_d_orig_order_value_amt_sd,0.0,LGBMRegressor(),
efforts_welcome_eff_lob_cd_2_days_since_welcome_effort_max,3.0,LGBMRegressor(),
customer_order_inquiry_cs_last_24_24_comm_channel_type_cd_t_order_no_countdist,0.0,LGBMRegressor(),1.0
efforts_xsell_eff_last_12_24_affinity_cd_default_xsell_effort_id_countdist,1.0,LGBMRegressor(),
efforts_xsell_eff_last_0_6_xsell_category_cd_a_xsell_effort_id_countdist,0.0,LGBMRegressor(),
orders_ords_last_6_12_order_pay_catg_cd_g_orig_order_value_amt_sum,0.0,LGBMRegressor(),
order_items_item_last_12_24_product_type_cd_b_line_item_qty_min,0.0,LGBMRegressor(),
efforts_welcome_eff_last_6_12_effort_type_cd_d_effort_id_countdist,0.0,LGBMRegressor(),
orders_ords_last_12_24_order_pay_catg_cd_a_orig_order_value_amt_max,5.0,LGBMRegressor(),
trans_trans_last_12_24_trans_type_cd_cancels_order_no_countdist,4.0,LGBMRegressor(),
order_items_item_last_6_12_product_type_cd_b_order_no_line_item_no_countdist,1.0,LGBMRegressor(),
trans_trans_last_12_24_trans_type_cd_cancels_trans_amt_mean,1.0,LGBMRegressor(),
customer_order_inquiry_cs_last_6_12_inquiry_type_cd_complaint_order_no_countdist,0.0,LGBMRegressor(),
orders_ords_last_0_6_comm_channel_type_cd_m_orig_order_value_amt_mean,0.0,LGBMRegressor(),
efforts_welcome_eff_last_full_second_chr_final_key_cd_h_effort_id_countdist,0.0,LGBMRegressor(),
customer_order_inquiry_cs_last_24_24_resolution_type_cd_mvr_order_no_line_item_no_countdist,0.0,LGBMRegressor(),
trans_trans_last_6_12_trans_type_cd_refunds_trans_amt_max,0.0,LGBMRegressor(),
order_items_item_last_24_24_lob_cd_2_order_no_countdist,0.0,LGBMRegressor(),
