,md_5,md_8,md_11,md_14,md_17,md_20,mean_imp
prospect_preliminary_pr_12_24_match_group_individual_ct_7_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_24_24_product_type_cd_a_line_item_qty_sum,0.0,0.00010002209858090555,0.0003317231235416382,0.00033362736796375747,0.00031499607300022837,0.00036440215690356804,0.0002407951366650163
efforts_customer_eff_last_full_fifth_chr_final_key_cd_0_effort_id_countdist,0.00033443437453040933,0.0014018235182104066,0.0011738233181923829,0.0015142828069046033,0.0018062161867780202,0.0018177604420071658,0.0013413901077704983
orders_ords_last_6_12_order_pay_catg_cd_k_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
composite_orders_ords_last_12_24_order_pay_catg_cd_d_per,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_third_chr_final_key_cd_6_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_12_24_business_category_cd_a_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_0_6_affinity_cd_ukn_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prospect_preliminary_pr_0_6_match_group_individual_ct_19_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_extra_eff_last_full_second_chr_final_key_cd_v_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_0_6_effort_type_cd_2_effort_id_countdist,0.00014408880567555807,0.00021115823580349386,0.00016138190241107755,0.00019807898329452365,0.0003177441997713391,0.0004425047457246561,0.00024582614544677473
efforts_customer_eff_last_24_24_effort_type_cd_27_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_prospect_eff_last_full_fourth_chr_final_key_cd_b_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_customer_eff_last_6_12_lob_cd_2_effort_id_countdist,0.00033531494498044407,0.0005134143529400731,0.00039831056620242135,0.0006453065259935695,0.0008169154388090941,0.0008630184546907682,0.0005953800472693951
orders_ords_last_12_24_order_pay_catg_cd_d_orig_order_value_amt_mean,0.00019394760032739373,0.00015246513136719486,0.0004536018566931541,0.00023962691569497278,0.00040248874425419793,0.0003570545728510166,0.00029986413686465497
trans_trans_last_12_24_trans_type_cd_refunds_order_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
