effort_id,Selection date,Month,PCH POP,PCH Optinrate,PCH Optin count,,effort_id,Population,Optins from table,optin rate before merge,Optins after merge,opt in rate after merge,Type,dropoff %,Population having an online ID,Optins with an LTV (excl. NA),Sum LTV,# of opt ins where LTV > 0,# of opt ins where LTV = 0,# of opt ins where LTV < 0,Min LTV,Max LTV,Median LTV
,Core Customers,7.13%,83196,5933,55%,,,,,,,,,,,,,,,,,,
,Customers,7.30%,44516,3249,30%,,,,,,,,,,,,,,,,,,
,Non Buyers(sweeps),9.66%,22485,2173,15%,,,,,,,,,,,,,,,,,,
,,,150197,11355,,,,,,,,,,,,,,,,,,,
20728,,Optin,Population,Optins,,,,,,,,,,,,,,,,,,,
,Core Customers,8.20%,71470,5859,51%,,,,,,,,,,,,,,,,,,
,Customers,6.02%,31542,1898,23%,,,,,,,,,,,,,,,,,,
,Non Buyers(sweeps),7.54%,37079,2797,26%,,,,,,,,,,,,,,,,,,
,,,140091,10554,,,,,,,,,,,,,,,,,,,
20754,,Optin,Population,Optins,,,,,,,,,,,,,,,,,,,
,Core Customers,3.69%,37042,1368,54%,,,,,,,,,,,,,,,,,,
,Customers,3.66%,16844,616,25%,,,,,,,,,,,,,,,,,,
,Non Buyers(sweeps),5.73%,14178,812,21%,,,,,,,,,,,,,,,,,,
,,,68064,2796,,,,,,,,,,,,,,,,,,,
