,md_5,md_8,md_11,md_14,md_17,md_20,mean_imp
efforts_customer_eff_last_6_12_effort_type_cd_bd_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merkle_household_au014_merkle_spending_volume,0.0021570628409723984,0.001230948152131715,0.0018485170599842466,0.002183729207863783,0.0024098916129980928,0.002577631732441112,0.002067963434398558
order_items_item_last_6_12_product_type_cd_b_unit_cost_amt_min,7.940983441792583e-05,0.0002541356563419945,0.00045900643304756,0.0007390341084411396,0.0004566120287433776,0.0003812571693352198,0.0003949092050545362
efforts_customer_eff_last_0_6_effort_type_cd_ha_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merkle_household_md007_probable_ordering_through_internet,0.005406992195078302,0.004535780100319609,0.004064154658189214,0.00379800285025366,0.004061653790490814,0.004274501161671157,0.004356847459333793
efforts_customer_eff_last_full_first_chr_final_key_cd_z_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_major_categ_cd_book_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_xsell_eff_last_6_12_xsell_category_reason_cd_2_xsell_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_third_chr_final_key_cd_4_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_0_6_business_src_cd_a_orig_order_value_amt_min,0.0003164099840548066,0.0005012277272278539,0.0005736772694094964,0.00047163936654942546,0.0003805858190295357,0.0003080990077723658,0.00042527319567391397
efforts_xsell_eff_last_24_24_affinity_cd_default_xsell_effort_id_countdist,0.00015466210728348184,5.4497251343846727e-05,0.0003813852883044832,0.0002454519588330259,0.00031526112859297156,0.00040104147890395006,0.00025871653554362657
trans_trans_last_12_24_lob_cd_i_trans_amt_payment_mean,0.0001478762987967824,0.0002094097479270885,0.0006265999741512245,0.00038835387208099355,0.0004893153887709348,0.0003890968208273699,0.00037510868375906556
efforts_extra_eff_last_full_second_chr_final_key_cd_8_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_third_chr_final_key_cd_t_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts_welcome_eff_last_full_second_chr_final_key_cd_h_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
online_inbound_email_in_last_6_6_email_unsub_sum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_24_24_major_categ_cd_xmas_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orders_ords_last_6_12_order_pay_catg_cd_a_orig_order_value_amt_sd,0.00018642041038383991,0.00036923676709476076,0.0005011224436362515,0.00047116745039880255,0.0004466844611942249,0.0004514787709011766,0.00040435171726817607
trans_trans_last_6_12_trans_amt_payment_min,0.0,0.0007405538257541422,0.0011470700761508166,0.0007708430705230704,0.0005692240894499328,0.0006652013641500571,0.0006488154043380031
efforts_prospect_eff_last_full_first_chr_final_key_cd_o_effort_id_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_24_24_major_categ_cd_book_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merkle_household_xb810_refinance_amt_in_thousands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_6_12_major_categ_cd_xmas_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order_items_item_last_24_24_major_categ_cd_mdse_order_no_line_item_no_countdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
composite_order_items_item_last_12_24_major_categ_cd_hort_per,0.0,0.0,0.0,0.0,0.0,0.0,0.0
